Time,BreathingWaveform
24/08/2018 10:05:49.288,6903011
24/08/2018 10:05:49.328,6907148
24/08/2018 10:05:49.368,6909400
24/08/2018 10:05:49.408,6911652
24/08/2018 10:05:49.448,6912804
24/08/2018 10:05:49.488,6913799
24/08/2018 10:05:49.528,6912856
24/08/2018 10:05:49.568,6911023
24/08/2018 10:05:49.608,6911390
24/08/2018 10:05:49.648,6911495
24/08/2018 10:05:49.688,6910133
24/08/2018 10:05:49.728,6908824
24/08/2018 10:05:49.768,6908562
24/08/2018 10:05:49.808,6907200
24/08/2018 10:05:49.848,6904739
24/08/2018 10:05:49.888,6902278
24/08/2018 10:05:49.928,6901807
24/08/2018 10:05:49.968,6903744
24/08/2018 10:05:50.008,6905001
24/08/2018 10:05:50.048,6906520
24/08/2018 10:05:50.088,6907829
24/08/2018 10:05:50.128,6906782
24/08/2018 10:05:50.168,6906939
24/08/2018 10:05:50.208,6905787
24/08/2018 10:05:50.248,6905682
24/08/2018 10:05:50.288,6907777
24/08/2018 10:05:50.328,6908405
24/08/2018 10:05:50.368,6907620
24/08/2018 10:05:50.408,6904739
24/08/2018 10:05:50.448,6903325
24/08/2018 10:05:50.488,6904006
24/08/2018 10:05:50.528,6903901
24/08/2018 10:05:50.568,6902854
24/08/2018 10:05:50.608,6904425
24/08/2018 10:05:50.648,6905263
24/08/2018 10:05:50.688,6905892
24/08/2018 10:05:50.728,6907148
24/08/2018 10:05:50.768,6907777
24/08/2018 10:05:50.808,6907410
24/08/2018 10:05:50.848,6907620
24/08/2018 10:05:50.888,6907882
24/08/2018 10:05:50.928,6909662
24/08/2018 10:05:50.968,6913066
24/08/2018 10:05:51.008,6914637
24/08/2018 10:05:51.048,6919454
24/08/2018 10:05:51.088,6923958
24/08/2018 10:05:51.128,6926262
24/08/2018 10:05:51.168,6928409
24/08/2018 10:05:51.208,6925686
24/08/2018 10:05:51.248,6919035
24/08/2018 10:05:51.288,6912699
24/08/2018 10:05:51.328,6906834
24/08/2018 10:05:51.368,6901440
24/08/2018 10:05:51.408,6896204
24/08/2018 10:05:51.448,6894161
24/08/2018 10:05:51.488,6898508
24/08/2018 10:05:51.528,6899555
24/08/2018 10:05:51.568,6896989
24/08/2018 10:05:51.608,6894004
24/08/2018 10:05:51.648,6892119
24/08/2018 10:05:51.688,6894423
24/08/2018 10:05:51.728,6895523
24/08/2018 10:05:51.768,6897565
24/08/2018 10:05:51.808,6898193
24/08/2018 10:05:51.848,6897984
24/08/2018 10:05:51.888,6898298
24/08/2018 10:05:51.928,6897461
24/08/2018 10:05:51.968,6898141
24/08/2018 10:05:52.008,6899293
24/08/2018 10:05:52.048,6898927
24/08/2018 10:05:52.088,6901440
24/08/2018 10:05:52.128,6903744
24/08/2018 10:05:52.168,6904792
24/08/2018 10:05:52.208,6907934
24/08/2018 10:05:52.248,6911966
24/08/2018 10:05:52.288,6918355
24/08/2018 10:05:52.328,6928043
24/08/2018 10:05:52.368,6935950
24/08/2018 10:05:52.408,6941815
24/08/2018 10:05:52.448,6945795
24/08/2018 10:05:52.488,6949408
24/08/2018 10:05:52.528,6954645
24/08/2018 10:05:52.568,6959096
24/08/2018 10:05:52.608,6962814
24/08/2018 10:05:52.648,6967527
24/08/2018 10:05:52.688,6969988
24/08/2018 10:05:52.728,6970198
24/08/2018 10:05:52.768,6971402
24/08/2018 10:05:52.808,6970826
24/08/2018 10:05:52.848,6969465
24/08/2018 10:05:52.888,6966480
24/08/2018 10:05:52.928,6963862
24/08/2018 10:05:52.968,6961662
24/08/2018 10:05:53.008,6958991
24/08/2018 10:05:53.048,6953493
24/08/2018 10:05:53.088,6947785
24/08/2018 10:05:53.128,6941344
24/08/2018 10:05:53.168,6935741
24/08/2018 10:05:53.208,6930242
24/08/2018 10:05:53.248,6925896
24/08/2018 10:05:53.288,6923644
24/08/2018 10:05:53.328,6921916
24/08/2018 10:05:53.368,6923592
24/08/2018 10:05:53.408,6925634
24/08/2018 10:05:53.448,6925320
24/08/2018 10:05:53.488,6922282
24/08/2018 10:05:53.528,6916103
24/08/2018 10:05:53.568,6912228
24/08/2018 10:05:53.608,6910186
24/08/2018 10:05:53.648,6909557
24/08/2018 10:05:53.688,6912385
24/08/2018 10:05:53.728,6914008
24/08/2018 10:05:53.768,6915893
24/08/2018 10:05:53.808,6914742
24/08/2018 10:05:53.848,6913904
24/08/2018 10:05:53.888,6913275
24/08/2018 10:05:53.928,6912332
24/08/2018 10:05:53.968,6913275
24/08/2018 10:05:54.008,6914113
24/08/2018 10:05:54.048,6913537
24/08/2018 10:05:54.088,6914742
24/08/2018 10:05:54.128,6912647
24/08/2018 10:05:54.168,6907829
24/08/2018 10:05:54.208,6902331
24/08/2018 10:05:54.248,6893585
24/08/2018 10:05:54.288,6892538
24/08/2018 10:05:54.328,6890967
24/08/2018 10:05:54.368,6889029
24/08/2018 10:05:54.408,6887354
24/08/2018 10:05:54.448,6885783
24/08/2018 10:05:54.488,6883688
24/08/2018 10:05:54.528,6880232
24/08/2018 10:05:54.568,6883636
24/08/2018 10:05:54.608,6883374
24/08/2018 10:05:54.648,6882274
24/08/2018 10:05:54.688,6882850
24/08/2018 10:05:54.728,6884892
24/08/2018 10:05:54.768,6886516
24/08/2018 10:05:54.808,6883217
24/08/2018 10:05:54.848,6877351
24/08/2018 10:05:54.888,6877613
24/08/2018 10:05:54.928,6881593
24/08/2018 10:05:54.968,6886358
24/08/2018 10:05:55.008,6879760
24/08/2018 10:05:55.048,6872953
24/08/2018 10:05:55.088,6883112
24/08/2018 10:05:55.128,6883845
24/08/2018 10:05:55.168,6885364
24/08/2018 10:05:55.208,6890181
24/08/2018 10:05:55.248,6886882
24/08/2018 10:05:55.288,6886620
24/08/2018 10:05:55.328,6887825
24/08/2018 10:05:55.368,6862060
24/08/2018 10:05:55.408,6875466
24/08/2018 10:05:55.448,6891490
24/08/2018 10:05:55.488,6940192
24/08/2018 10:05:55.528,7228681
24/08/2018 10:05:55.568,7313515
24/08/2018 10:05:55.608,7355043
24/08/2018 10:05:55.648,7359493
24/08/2018 10:05:55.688,7482660
24/08/2018 10:05:55.728,7532147
24/08/2018 10:05:55.768,7536546
24/08/2018 10:05:55.808,7619233
24/08/2018 10:05:55.848,7734545
24/08/2018 10:05:55.888,7807702
24/08/2018 10:05:55.928,7806131
24/08/2018 10:05:55.968,7753921
24/08/2018 10:05:56.008,7652015
24/08/2018 10:05:56.048,7443123
24/08/2018 10:05:56.088,7164950
24/08/2018 10:05:56.128,7096821
24/08/2018 10:05:56.168,7076398
24/08/2018 10:05:56.208,7110698
24/08/2018 10:05:56.248,7150078
24/08/2018 10:05:56.288,7197889
24/08/2018 10:05:56.328,7203755
24/08/2018 10:05:56.368,7166155
24/08/2018 10:05:56.408,7204121
24/08/2018 10:05:56.448,7218731
24/08/2018 10:05:56.488,7223549
24/08/2018 10:05:56.528,7262143
24/08/2018 10:05:56.568,7299272
24/08/2018 10:05:56.608,7329749
24/08/2018 10:05:56.648,7348287
24/08/2018 10:05:56.688,7346035
24/08/2018 10:05:56.728,7291312
24/08/2018 10:05:56.768,7223025
24/08/2018 10:05:56.808,7159871
24/08/2018 10:05:56.848,7114259
24/08/2018 10:05:56.888,7063673
24/08/2018 10:05:56.928,7005441
24/08/2018 10:05:56.968,6952707
24/08/2018 10:05:57.008,6942077
24/08/2018 10:05:57.048,6944695
24/08/2018 10:05:57.088,7039322
24/08/2018 10:05:57.128,7055032
24/08/2018 10:05:57.168,7074880
24/08/2018 10:05:57.208,7089123
24/08/2018 10:05:57.248,7099335
24/08/2018 10:05:57.288,7105671
24/08/2018 10:05:57.328,7111275
24/08/2018 10:05:57.368,7119548
24/08/2018 10:05:57.408,7127508
24/08/2018 10:05:57.448,7139448
24/08/2018 10:05:57.488,7149974
24/08/2018 10:05:57.528,7163589
24/08/2018 10:05:57.568,7173172
24/08/2018 10:05:57.608,7182127
24/08/2018 10:05:57.648,7186054
24/08/2018 10:05:57.688,7190034
24/08/2018 10:05:57.728,7198570
24/08/2018 10:05:57.768,7204854
24/08/2018 10:05:57.808,7215537
24/08/2018 10:05:57.848,7218836
24/08/2018 10:05:57.888,7227791
24/08/2018 10:05:57.928,7246538
24/08/2018 10:05:57.968,7258216
24/08/2018 10:05:58.008,7251932
24/08/2018 10:05:58.048,7251618
24/08/2018 10:05:58.088,7240830
24/08/2018 10:05:58.128,7235018
24/08/2018 10:05:58.168,7226901
24/08/2018 10:05:58.208,7226639
24/08/2018 10:05:58.248,7226115
24/08/2018 10:05:58.288,7235541
24/08/2018 10:05:58.328,7244600
24/08/2018 10:05:58.368,7252194
24/08/2018 10:05:58.408,7251146
24/08/2018 10:05:58.448,7244391
24/08/2018 10:05:58.488,7231666
24/08/2018 10:05:58.528,7226743
24/08/2018 10:05:58.568,7228157
24/08/2018 10:05:58.608,7235489
24/08/2018 10:05:58.648,7244758
24/08/2018 10:05:58.688,7258321
24/08/2018 10:05:58.728,7268166
24/08/2018 10:05:58.768,7280210
24/08/2018 10:05:58.808,7297753
24/08/2018 10:05:58.848,7323256
24/08/2018 10:05:58.888,7353052
24/08/2018 10:05:58.928,7383059
24/08/2018 10:05:58.968,7402539
24/08/2018 10:05:59.008,7390861
24/08/2018 10:05:59.048,7360384
24/08/2018 10:05:59.088,7319747
24/08/2018 10:05:59.128,7281519
24/08/2018 10:05:59.168,7255126
24/08/2018 10:05:59.208,7242820
24/08/2018 10:05:59.248,7210300
24/08/2018 10:05:59.288,7201503
24/08/2018 10:05:59.328,7195062
24/08/2018 10:05:59.368,7192129
24/08/2018 10:05:59.408,7188830
24/08/2018 10:05:59.448,7183384
24/08/2018 10:05:59.488,7180503
24/08/2018 10:05:59.528,7177676
24/08/2018 10:05:59.568,7173748
24/08/2018 10:05:59.608,7171077
24/08/2018 10:05:59.648,7168931
24/08/2018 10:05:59.688,7166260
24/08/2018 10:05:59.728,7163484
24/08/2018 10:05:59.768,7164165
24/08/2018 10:05:59.808,7163275
24/08/2018 10:05:59.848,7154896
24/08/2018 10:05:59.888,7155367
24/08/2018 10:05:59.928,7153168
24/08/2018 10:05:59.968,7146779
24/08/2018 10:06:00.008,7145103
24/08/2018 10:06:00.048,7148141
24/08/2018 10:06:00.088,7148717
24/08/2018 10:06:00.128,7146832
24/08/2018 10:06:00.168,7152697
24/08/2018 10:06:00.208,7160918
24/08/2018 10:06:00.248,7166050
24/08/2018 10:06:00.288,7169559
24/08/2018 10:06:00.328,7177676
24/08/2018 10:06:00.368,7189249
24/08/2018 10:06:00.408,7197732
24/08/2018 10:06:00.448,7201974
24/08/2018 10:06:00.488,7204330
24/08/2018 10:06:00.528,7207996
24/08/2018 10:06:00.568,7216741
24/08/2018 10:06:00.608,7220774
24/08/2018 10:06:00.648,7225591
24/08/2018 10:06:00.688,7228367
24/08/2018 10:06:00.728,7229938
24/08/2018 10:06:00.768,7227843
24/08/2018 10:06:00.808,7216218
24/08/2018 10:06:00.848,7201922
24/08/2018 10:06:00.888,7202079
24/08/2018 10:06:00.928,7200612
24/08/2018 10:06:00.968,7195114
24/08/2018 10:06:01.008,7193019
24/08/2018 10:06:01.048,7193019
24/08/2018 10:06:01.088,7184641
24/08/2018 10:06:01.128,7174534
24/08/2018 10:06:01.168,7177466
24/08/2018 10:06:01.208,7193805
24/08/2018 10:06:01.248,7209148
24/08/2018 10:06:01.288,7220826
24/08/2018 10:06:01.328,7237688
24/08/2018 10:06:01.368,7273612
24/08/2018 10:06:01.408,7308122
24/08/2018 10:06:01.448,7337918
24/08/2018 10:06:01.488,7370071
24/08/2018 10:06:01.528,7413693
24/08/2018 10:06:01.568,7455115
24/08/2018 10:06:01.608,7486064
24/08/2018 10:06:01.648,7502874
24/08/2018 10:06:01.688,7510729
24/08/2018 10:06:01.728,7524083
24/08/2018 10:06:01.768,7538169
24/08/2018 10:06:01.808,7538117
