Time,BreathingWaveform
20/08/2018 14:00:14.275,7251303
20/08/2018 14:00:14.315,7256802
20/08/2018 14:00:14.355,7262353
20/08/2018 14:00:14.395,7269632
20/08/2018 14:00:14.435,7278273
20/08/2018 14:00:14.475,7286075
20/08/2018 14:00:14.515,7287541
20/08/2018 14:00:14.555,7291155
20/08/2018 14:00:14.595,7293092
20/08/2018 14:00:14.635,7292673
20/08/2018 14:00:14.675,7298015
20/08/2018 14:00:14.715,7312625
20/08/2018 14:00:14.755,7323675
20/08/2018 14:00:14.795,7327445
20/08/2018 14:00:14.835,7334148
20/08/2018 14:00:14.875,7338808
20/08/2018 14:00:14.915,7345145
20/08/2018 14:00:14.955,7347501
20/08/2018 14:00:14.995,7347606
20/08/2018 14:00:15.035,7347030
20/08/2018 14:00:15.075,7344674
20/08/2018 14:00:15.115,7340222
20/08/2018 14:00:15.155,7333258
20/08/2018 14:00:15.195,7326921
20/08/2018 14:00:15.235,7322208
20/08/2018 14:00:15.275,7319799
20/08/2018 14:00:15.315,7320271
20/08/2018 14:00:15.355,7317129
20/08/2018 14:00:15.395,7314667
20/08/2018 14:00:15.435,7310269
20/08/2018 14:00:15.475,7302885
20/08/2018 14:00:15.515,7297386
20/08/2018 14:00:15.555,7295187
20/08/2018 14:00:15.595,7294349
20/08/2018 14:00:15.635,7292883
20/08/2018 14:00:15.675,7288694
20/08/2018 14:00:15.715,7283876
20/08/2018 14:00:15.755,7279215
20/08/2018 14:00:15.795,7277068
20/08/2018 14:00:15.835,7272146
20/08/2018 14:00:15.875,7269318
20/08/2018 14:00:15.915,7268480
20/08/2018 14:00:15.955,7268899
20/08/2018 14:00:15.995,7262720
20/08/2018 14:00:16.035,7253189
20/08/2018 14:00:16.075,7244025
20/08/2018 14:00:16.115,7237531
20/08/2018 14:00:16.155,7235436
20/08/2018 14:00:16.195,7235489
20/08/2018 14:00:16.235,7236484
20/08/2018 14:00:16.275,7237217
20/08/2018 14:00:16.315,7238421
20/08/2018 14:00:16.355,7241249
20/08/2018 14:00:16.395,7242715
20/08/2018 14:00:16.435,7246957
20/08/2018 14:00:16.475,7250571
20/08/2018 14:00:16.515,7258949
20/08/2018 14:00:16.555,7267380
20/08/2018 14:00:16.595,7269737
20/08/2018 14:00:16.635,7267642
20/08/2018 14:00:16.675,7266385
20/08/2018 14:00:16.715,7263400
20/08/2018 14:00:16.755,7259421
20/08/2018 14:00:16.795,7261882
20/08/2018 14:00:16.835,7265547
20/08/2018 14:00:16.875,7265233
20/08/2018 14:00:16.915,7262458
20/08/2018 14:00:16.955,7259368
