Time,BreathingWaveform
20/08/2018 12:04:37.274,6833520
20/08/2018 12:04:37.314,6833363
20/08/2018 12:04:37.354,6831426
20/08/2018 12:04:37.394,6829488
20/08/2018 12:04:37.434,6825980
20/08/2018 12:04:37.474,6835929
20/08/2018 12:04:37.514,6841271
20/08/2018 12:04:37.554,6845303
20/08/2018 12:04:37.594,6849178
20/08/2018 12:04:37.634,6856300
20/08/2018 12:04:37.674,6862741
20/08/2018 12:04:37.714,6867402
20/08/2018 12:04:37.754,6867664
20/08/2018 12:04:37.794,6868816
20/08/2018 12:04:37.834,6869025
20/08/2018 12:04:37.874,6868397
20/08/2018 12:04:37.914,6868135
20/08/2018 12:04:37.954,6866616
20/08/2018 12:04:37.994,6865202
20/08/2018 12:04:38.034,6862060
20/08/2018 12:04:38.074,6858656
20/08/2018 12:04:38.114,6859023
20/08/2018 12:04:38.154,6857557
20/08/2018 12:04:38.194,6856457
20/08/2018 12:04:38.234,6857033
20/08/2018 12:04:38.274,6859599
20/08/2018 12:04:38.314,6859442
20/08/2018 12:04:38.354,6859966
20/08/2018 12:04:38.394,6861275
20/08/2018 12:04:38.434,6863527
20/08/2018 12:04:38.474,6866616
20/08/2018 12:04:38.514,6869392
20/08/2018 12:04:38.554,6872010
20/08/2018 12:04:38.594,6873110
20/08/2018 12:04:38.634,6875152
20/08/2018 12:04:38.674,6877928
20/08/2018 12:04:38.714,6879918
20/08/2018 12:04:38.754,6880494
20/08/2018 12:04:38.794,6882536
20/08/2018 12:04:38.834,6885154
20/08/2018 12:04:38.874,6889553
20/08/2018 12:04:38.914,6895156
20/08/2018 12:04:38.954,6901283
20/08/2018 12:04:38.994,6906101
20/08/2018 12:04:39.034,6909871
20/08/2018 12:04:39.074,6912018
20/08/2018 12:04:39.114,6914637
20/08/2018 12:04:39.154,6919245
20/08/2018 12:04:39.194,6923015
20/08/2018 12:04:39.234,6924482
20/08/2018 12:04:39.274,6927414
20/08/2018 12:04:39.314,6929823
20/08/2018 12:04:39.354,6932913
20/08/2018 12:04:39.394,6937050
20/08/2018 12:04:39.434,6944852
20/08/2018 12:04:39.474,6947104
20/08/2018 12:04:39.514,6948309
20/08/2018 12:04:39.554,6950927
20/08/2018 12:04:39.594,6955692
20/08/2018 12:04:39.634,6958154
20/08/2018 12:04:39.674,6959567
20/08/2018 12:04:39.714,6961453
20/08/2018 12:04:39.754,6963495
20/08/2018 12:04:39.794,6964333
20/08/2018 12:04:39.834,6966113
20/08/2018 12:04:39.874,6967161
20/08/2018 12:04:39.914,6966951
20/08/2018 12:04:39.954,6967318
20/08/2018 12:04:39.994,6966218
20/08/2018 12:04:40.034,6963286
20/08/2018 12:04:40.074,6961715
20/08/2018 12:04:40.114,6959829
20/08/2018 12:04:40.154,6958520
20/08/2018 12:04:40.194,6958049
20/08/2018 12:04:40.234,6958782
20/08/2018 12:04:40.274,6961558
20/08/2018 12:04:40.314,6964909
20/08/2018 12:04:40.354,6967475
20/08/2018 12:04:40.394,6969046
20/08/2018 12:04:40.434,6968470
20/08/2018 12:04:40.474,6964857
20/08/2018 12:04:40.514,6960039
20/08/2018 12:04:40.554,6958311
20/08/2018 12:04:40.594,6954017
20/08/2018 12:04:40.634,6950508
20/08/2018 12:04:40.674,6949880
20/08/2018 12:04:40.714,6947314
20/08/2018 12:04:40.754,6942810
20/08/2018 12:04:40.794,6939145
20/08/2018 12:04:40.834,6936107
20/08/2018 12:04:40.874,6932337
20/08/2018 12:04:40.914,6929980
20/08/2018 12:04:40.954,6927571
20/08/2018 12:04:40.994,6925686
20/08/2018 12:04:41.034,6924691
20/08/2018 12:04:41.074,6922701
20/08/2018 12:04:41.114,6922858
20/08/2018 12:04:41.154,6923120
20/08/2018 12:04:41.194,6925267
20/08/2018 12:04:41.234,6927153
20/08/2018 12:04:41.274,6929823
20/08/2018 12:04:41.314,6929404
20/08/2018 12:04:41.354,6928095
20/08/2018 12:04:41.394,6926419
20/08/2018 12:04:41.434,6923539
20/08/2018 12:04:41.474,6921759
20/08/2018 12:04:41.514,6920659
20/08/2018 12:04:41.554,6919769
20/08/2018 12:04:41.594,6921078
20/08/2018 12:04:41.634,6923330
20/08/2018 12:04:41.674,6925320
20/08/2018 12:04:41.714,6927676
20/08/2018 12:04:41.754,6931446
20/08/2018 12:04:41.794,6932337
20/08/2018 12:04:41.834,6933279
20/08/2018 12:04:41.874,6935426
20/08/2018 12:04:41.914,6936369
20/08/2018 12:04:41.954,6937364
20/08/2018 12:04:41.994,6937992
20/08/2018 12:04:42.034,6937102
20/08/2018 12:04:42.074,6935217
20/08/2018 12:04:42.114,6932337
20/08/2018 12:04:42.154,6929561
20/08/2018 12:04:42.194,6927467
20/08/2018 12:04:42.234,6926367
20/08/2018 12:04:42.274,6925896
20/08/2018 12:04:42.314,6925058
20/08/2018 12:04:42.354,6924325
20/08/2018 12:04:42.394,6924115
20/08/2018 12:04:42.434,6923435
20/08/2018 12:04:42.474,6922021
20/08/2018 12:04:42.514,6920188
20/08/2018 12:04:42.554,6918146
20/08/2018 12:04:42.594,6917464
20/08/2018 12:04:42.634,6915684
20/08/2018 12:04:42.674,6916155
20/08/2018 12:04:42.714,6916208
20/08/2018 12:04:42.754,6914951
20/08/2018 12:04:42.794,6914008
20/08/2018 12:04:42.834,6913380
20/08/2018 12:04:42.874,6912490
20/08/2018 12:04:42.914,6913066
20/08/2018 12:04:42.954,6912909
20/08/2018 12:04:42.994,6913171
20/08/2018 12:04:43.034,6913694
20/08/2018 12:04:43.074,6913328
20/08/2018 12:04:43.114,6914375
20/08/2018 12:04:43.154,6913223
20/08/2018 12:04:43.194,6914322
20/08/2018 12:04:43.234,6913642
20/08/2018 12:04:43.274,6915946
20/08/2018 12:04:43.314,6917150
20/08/2018 12:04:43.354,6921444
20/08/2018 12:04:43.394,6931813
20/08/2018 12:04:43.434,6929090
20/08/2018 12:04:43.474,6924691
20/08/2018 12:04:43.514,6926786
20/08/2018 12:04:43.554,6926838
20/08/2018 12:04:43.594,6927310
20/08/2018 12:04:43.634,6928200
20/08/2018 12:04:43.674,6928095
20/08/2018 12:04:43.714,6928828
20/08/2018 12:04:43.754,6927310
20/08/2018 12:04:43.794,6924534
20/08/2018 12:04:43.834,6923015
20/08/2018 12:04:43.874,6922806
20/08/2018 12:04:43.914,6922649
20/08/2018 12:04:43.954,6920764
20/08/2018 12:04:43.994,6921078
20/08/2018 12:04:44.034,6920135
20/08/2018 12:04:44.074,6920502
20/08/2018 12:04:44.114,6921340
20/08/2018 12:04:44.154,6921235
20/08/2018 12:04:44.194,6922753
20/08/2018 12:04:44.234,6925267
20/08/2018 12:04:44.274,6927990
20/08/2018 12:04:44.314,6929980
20/08/2018 12:04:44.354,6932023
20/08/2018 12:04:44.394,6934484
20/08/2018 12:04:44.434,6936421
20/08/2018 12:04:44.474,6938830
20/08/2018 12:04:44.514,6939040
20/08/2018 12:04:44.554,6941396
20/08/2018 12:04:44.594,6942496
20/08/2018 12:04:44.634,6943753
20/08/2018 12:04:44.674,6944224
20/08/2018 12:04:44.714,6944015
20/08/2018 12:04:44.754,6944486
20/08/2018 12:04:44.794,6945481
20/08/2018 12:04:44.834,6945690
20/08/2018 12:04:44.874,6944119
20/08/2018 12:04:44.914,6945219
20/08/2018 12:04:44.954,6944119
20/08/2018 12:04:44.994,6943700
20/08/2018 12:04:45.034,6941658
20/08/2018 12:04:45.074,6939825
20/08/2018 12:04:45.114,6937888
20/08/2018 12:04:45.154,6935741
20/08/2018 12:04:45.194,6934536
20/08/2018 12:04:45.234,6932442
20/08/2018 12:04:45.274,6932075
20/08/2018 12:04:45.314,6930766
20/08/2018 12:04:45.354,6930452
20/08/2018 12:04:45.394,6928566
20/08/2018 12:04:45.434,6927833
20/08/2018 12:04:45.474,6925634
20/08/2018 12:04:45.514,6922335
20/08/2018 12:04:45.554,6921287
20/08/2018 12:04:45.594,6920764
20/08/2018 12:04:45.634,6922021
20/08/2018 12:04:45.674,6921130
20/08/2018 12:04:45.714,6919664
20/08/2018 12:04:45.754,6918355
20/08/2018 12:04:45.794,6916522
20/08/2018 12:04:45.834,6915946
20/08/2018 12:04:45.874,6916365
20/08/2018 12:04:45.914,6916732
20/08/2018 12:04:45.954,6916103
20/08/2018 12:04:45.994,6915160
20/08/2018 12:04:46.034,6914689
20/08/2018 12:04:46.074,6913851
20/08/2018 12:04:46.114,6913275
20/08/2018 12:04:46.154,6913275
